idx,text,mode
165,"Stick To Your Guns, The Hope Division, White Light",switch_title
166,"Still Corners, Pubic Fruit, Strange Pleasures",switch_album
167,"Stray From The Path, Jerks Rule!!, Crazy",switch_author
168,"Sunglasses Kid, Unpredictable, Golden Letters",switch_title
169,"Sunna, 2525 (Exordium & Terminus), In the Year 2525 (Exordium & Terminus)",switch_author
170,"System of a Down, The Colour and the Shape, Everlong",switch_author
171,"Testify, My Boy, Don't Go Back",switch_author
172,"The Baboons, Herefore, Herefore",switch_author
173,"The Clash, Hits Back, I Fought the Law",real
174,"The Glitch Mob, Evil Empire, Between Two Points (feat",switch_album
175,"The Glitch Mob, We Can Make The World Stop - EP, Cliff Notes",switch_title
176,"The Hillbilly Moon Explosion, Happy Hour, Bop Til You Drop",switch_album
177,"The Offspring, Ixnay On The Hombre, Wir müssen hier raus",switch_title
178,"The Prodigy, A Little Peace, Jericho",switch_album
179,"The Raveonettes, True Romance (Part One), Lust",switch_album
180,"The Truth, Scorpio Rising, Hands Around My Throat",switch_author
181,"The Used, Joyride, Maybe Memories",switch_album
182,"The xx, Boulevard Of Broken Dreams, Boulevard Of Broken Dreams",switch_author
183,"Theo Moreau, Digital Motors, Prelude",madeup_all
184,"Theo Rossi, Fever Horizons, Electric Shadows",madeup_all
185,"Thom Yorke, Full Circle, Stitches",switch_author
186,"Twenty One Pilots, Blurryface, Heavydirtysoul",real
187,"Twenty One Pilots, Vessel, Holding On To You",real
188,"Type O Negative, Evil Empire",switch_album
189,"Von Brücken, Kein Mensch ist Illegal, Hometown",switch_title
190,"Walls of Jericho, Meth, No Saving Me",switch_album
191,"We Butter The Bread With Butter, Der Tag an dem die Welt unterging, Kids",switch_title
192,"Wolf Alice, Army of Mushrooms, I Shine",switch_author
193,"Wolf Alice, Blue Weekend, Smile",real
194,"Yeht Mae, Eam They, Aurora Scenes",switch_title
195,"Yota, Cut, The Vibe",switch_album
196,"Yota, Lucid Dreams, One By One",real
197,"Yung Gravy, Marvelous, It's Written",switch_title
198,"Zoe Hayes, Scenes of Skylines",madeup_all
199,"Zoe Nguyen, Aurora Letters",madeup_all
200,"結束バンド, Lest We Forget - The Best Of, Rock Is Dead",switch_author
